datetime;PrévisionsJ-1;PrévisionsJ;Consommation
01/01/2023 00:00;46800.0;48000.0;46008.0
01/01/2023 00:15;46050.0;47500.0;46462.0
01/01/2023 00:30;45500.0;47000.0;45349.0
01/01/2023 00:45;44650.0;46350.0;44669.0
01/01/2023 01:00;43800.0;45700.0;45387.0
01/01/2023 01:15;44100.0;45950.0;45864.0
01/01/2023 01:30;44400.0;46200.0;45500.0
01/01/2023 01:45;44350.0;46100.0;45694.0
01/01/2023 02:00;44300.0;46000.0;45444.0
01/01/2023 02:15;43750.0;45450.0;45680.0
01/01/2023 02:30;43200.0;44900.0;44566.0
01/01/2023 02:45;42200.0;44050.0;43726.0
01/01/2023 03:00;41200.0;43200.0;42878.0
01/01/2023 03:15;40400.0;42500.0;42265.0
01/01/2023 03:30;39600.0;41800.0;41583.0
01/01/2023 03:45;38950.0;41150.0;40914.0
01/01/2023 04:00;38300.0;40500.0;40164.0
01/01/2023 04:15;37900.0;40200.0;39714.0
01/01/2023 04:30;37500.0;39900.0;39247.0
01/01/2023 04:45;37250.0;39600.0;38672.0
01/01/2023 05:00;37000.0;39300.0;38504.0
01/01/2023 05:15;36800.0;39250.0;38558.0
01/01/2023 05:30;36600.0;39200.0;38356.0
01/01/2023 05:45;36400.0;39250.0;38221.0
01/01/2023 06:00;36200.0;39300.0;38132.0
01/01/2023 06:15;36300.0;38950.0;38645.0
01/01/2023 06:30;36400.0;38600.0;38578.0
01/01/2023 06:45;36350.0;38600.0;38562.0
01/01/2023 07:00;36300.0;38600.0;38619.0
01/01/2023 07:15;36250.0;38800.0;39026.0
01/01/2023 07:30;36200.0;39000.0;38993.0
01/01/2023 07:45;36350.0;39100.0;39045.0
01/01/2023 08:00;36500.0;39200.0;39238.0
01/01/2023 08:15;36350.0;39250.0;39196.0
01/01/2023 08:30;36200.0;39300.0;39263.0
01/01/2023 08:45;36350.0;39450.0;39293.0
01/01/2023 09:00;36500.0;39600.0;39557.0
